bAMM_A9408,POE\Main\Func05_06_ECW_Pr.GB,10,IN,50,17,Read,,BOOL,NSQX9.3,,VAR_GLOBAL,GLOBAL,,TRIP 9408: Engine cooling water pressure maximum (sensor dr
bAMM_A9409,POE\Main\Func05_06_ECW_Pr.GB,8,OUT,44,59,Write,,BOOL,NSQX9.4,,VAR_GLOBAL,GLOBAL,,TRIP 9409: Engine cooling water pressure sensor value froze
bAMM_A9409,POE\Main\Func05_06_ECW_Pr.GB,10,IN,51,17,Read,,BOOL,NSQX9.4,,VAR_GLOBAL,GLOBAL,,TRIP 9409: Engine cooling water pressure sensor value froze
bAMM_A9410,POE\Main\Func05_06_ECW_Pr.GB,13,IN,162,17,Read,,BOOL,NSQX9.5,,VAR_GLOBAL,GLOBAL,,TRIP 9410: Engine cooling water pressure after pump maximum
bAMM_A9410,POE\Main\Func05_06_ECW_Pr.GB,14,OUT,147,59,Write,,BOOL,NSQX9.5,,VAR_GLOBAL,GLOBAL,,TRIP 9410: Engine cooling water pressure after pump maximum
bAMM_A9411,POE\Main\Func05_06_ECW_Pr.GB,2,OUT,138,59,Write,,BOOL,NSQX9.6,,VAR_GLOBAL,GLOBAL,,TRIP 9411: Engine cooling water pressure after pump measuri
bAMM_A9412,POE\Main\Func05_06_ECW_Pr.GB,13,IN,163,17,Read,,BOOL,NSQX9.7,,VAR_GLOBAL,GLOBAL,,TRIP 9412: Engine cooling water pressure after pump sensor 
bAMM_A9412,POE\Main\Func05_06_ECW_Pr.GB,14,OUT,158,59,Write,,BOOL,NSQX9.7,,VAR_GLOBAL,GLOBAL,,TRIP 9412: Engine cooling water pressure after pump sensor 
bAMM_A9413,POE\Main\Func07_Grid.GB,5,OUT,4,34,Write,,BOOL,NSQX10.0,,VAR_GLOBAL,GLOBAL,,TRIP 9413: Generator circuit breaker opening failure
bAMM_A9413,POE\Main\Func07_Grid.GB,7,IN,171,19,Read,,BOOL,NSQX10.0,,VAR_GLOBAL,GLOBAL,,TRIP 9413: Generator circuit breaker opening failure
bAMM_A9414,POE\Main\Func07_Grid.GB,7,IN,172,19,Read,,BOOL,NSQX10.1,,VAR_GLOBAL,GLOBAL,,TRIP 9414: Generator circuit breaker position feedback erro
